cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
1,1982,32,天机令,0,http://cdn.517w.com/uploadfile/2018/0206/thumb_20180206165112946.jpg,十三岁的少女柳无意从小与师父浪迹街头，打遍同龄人无敌手，被称为临溪一霸，一天，他们在破庙中发现一个死人，从这人身上发现一块奇怪的令牌，从此，平静的生活开始彻底被打破,2,第十八幕 阵（五）,青羽漫画,1,1534402038,0,4.8647,21,127722308,183141,,
1,3181,31,恋上男友的替身,0,http://cdn.517w.com/uploadfile/2017/1101/thumb_20171101214900647.jpg,替身？爱她？,2,请假条,蓝晶科技漫画,1,1536313707,0,4.7629,22,162069499,173098,,
1,4714,31,狂女重生：纨绔七皇妃,0,http://cdn.517w.com/uploadfile/2018/0816/thumb_20180816101649723.jpg,前世她受人欺害，最终丧子身死。如今重生归来，看她如何手撕渣男恶女，还叫腹黑王爷芳心暗许。,2,第181话 赤裸裸的威胁,崇卓漫画,1,1580317208,1,4.6552,23,7563990,169096,,
1,1154,32,炼狱重生,0,http://cdn.517w.com/uploadfile/2017/0901/20170901094828614.jpg,主角毫无征兆的被挚爱杀掉，心有不甘，千辛万苦追求真相！,1,223,鱼乐漫画工作室,1,1527645436,0,4.8351,24,527060963,158456,,
1,2373,31,兵王耀星路,0,http://cdn.517w.com/uploadfile/2018/0309/thumb_20180309180943850.jpg,"林霄，拥有“最强兵王”称号的男人。一次意外，发现妹妹竟然是某主播平台小有名气的主播，梦想成为大明星。
为了给妹妹创造一条完美的明星之路，兵王带妹妹横闯娱乐圈！",3,第236话  故事,东风十里,1,1525146060,0,4.7952,25,300052576,141428,,
1,2213,31,星星不是发光体①,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830113841899.jpg,陪伴十年的他，魅惑妖孽的他，霸道总裁的他，都为特立独行的她着迷。忽略性别的兄弟之情，不被接受的禁断之情，备受煎熬的狼羊之情，她的心会选择谁？星星不是发光体，真相是你想不到的下一秒。,1,第181话,夏日紫/笑水轩动漫,1,1525766699,0,4.8028,26,103557540,137848,,
1,90,32,困病之笼,0,http://cdn.517w.com/uploadfile/2017/0901/20170901104242811.jpg,为了接近自己暗恋的女生，韦良男扮女装参与了女生们的春游，结果却被恐怖分子绑架，还被注射病毒……要如何才能在穷凶极恶的恐怖组织手中求活，救出自己暗恋的女生？,3,第650话,大叔酱,1,1535025707,0,4.8233,27,1912400937,120271,,
1,2530,31,霸道总裁爱上我,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830113542453.jpg,倔强独立的财阀独生女和门风森严的望族长孙定了娃娃亲！她，心有所属；他，矢志复仇；看霸道总裁如何运筹帷幄。家族继承权我要定了！你的心，我也要定了！,2,第107话,笑水轩动漫/夏日紫,3,1507979039,0,4.6674,28,154450930,111389,,
1,878,32,刺杀大圣,0,http://cdn.517w.com/uploadfile/2018/0604/20180604045533283.jpg,积德行善的犄萌族，离奇的被齐天大圣孙悟空诛灭全族，只剩下谷小乖一人。柔弱的谷小乖带着无助和愤怒，肩负上了为族人讨回公道的使命。谷小乖四处寻找靠山，但大家似乎都对大圣有所忌惮，无人肯为谷小乖出头。最终，极度失望的谷小乖，开始依靠自己，走上复仇的刺杀之路。,7,公告,默,1,1536274817,0,4.7978,30,1078250985,108381,,
1,141,31,千织百绘,0,http://cdn.517w.com/uploadfile/2017/0901/20170901033233941.jpg,自古，妖怪就一直潜伏在人类中，即使是除妖师也很难对付它们。最近，千百年来的平安格局即将被打破，原因仅仅是因为——一部小说。小说暴露了妖怪们的弱点，而高中生作者则陷入了被妖怪们追杀的生活！,1,第79话,时光机工作室,1,1534730055,0,4.8741,32,100872344,97489,,
1,2114,31,鹿与森说,0,http://cdn.517w.com/uploadfile/2017/0831/20170831052415346.jpg,一对兽人从亲人变恋人的故事……,0,196,噼咔噼,1,1515114006,0,4.853,33,66998760,76351,,
1,1164,32,裙下之神,0,http://cdn.517w.com/uploadfile/2016/0301/20160301111947886.jpg,"拥有着麒麟臂的少年因为一次意外被校花威胁，卷入了一堆哭笑不得的麻烦事
搞笑的奇幻故事就此展开",1,044大结局,疯猫匠×镜夜兒,1,1478245374,0,4.7086,34,111214837,71917,,
1,2312,33,星海迷龙,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830122402504.jpg,当放荡不羁的黑二代穿成星际海盗王的儿子，敛财打怪收魔宠，小攻神马的要从蛋养成，看少爷如何把撒娇萌龙养成霸气帝王！,1,第165章,热麦漫画,1,1527123607,0,4.8908,35,167966756,61743,,
1,1217,32,最后的召唤师,0,http://cdn.517w.com/uploadfile/2017/0912/thumb_20170912134509606.jpg,"女神潘朵拉是万物之灵的本原，漫长的岁月里里，无数次战争围绕她进行着。最终，潘朵拉被一众出色的召唤师成功封印。
万物有灵。能够召唤万物之灵的人，被称为召唤师。自古以来，召唤师的传说深藏在每一段历史当中，召唤泥土，召唤枯骨，召唤灵魂，召唤星辰……但传说终究是传说，它总有一天会被时间封印，被世人遗忘……
现在，新的时代降临，召唤师，觉醒！",3,第280话,ASK STUDIO,1,1543885205,0,4.8006,36,3031268283,54483,,
